englishSpeaker,courseInstr,course,semester,classSize,class
native,23,3,summer,19,high
non-native,15,3,summer,17,high
native,23,3,regular,49,high
native,5,2,regular,33,high
non-native,7,11,regular,55,high
non-native,23,3,summer,20,high
non-native,9,5,regular,19,high
non-native,10,3,regular,27,high
native,22,3,summer,58,high
non-native,15,3,summer,20,high
non-native,10,22,regular,9,high
non-native,13,1,regular,30,high
non-native,18,21,regular,29,high
non-native,6,17,regular,39,high
non-native,6,17,regular,42,medium
non-native,6,17,regular,43,medium
non-native,7,11,regular,10,medium
non-native,22,3,regular,46,medium
non-native,13,3,summer,10,medium
non-native,7,25,regular,42,medium
non-native,25,7,regular,27,medium
non-native,25,7,regular,23,medium
non-native,2,9,regular,31,medium
non-native,1,15,summer,22,medium
non-native,15,13,regular,37,medium
non-native,7,11,regular,13,medium
non-native,8,3,regular,24,medium
non-native,14,15,regular,38,medium
non-native,21,2,regular,42,low
non-native,22,3,regular,28,low
non-native,11,1,regular,51,low
non-native,18,5,regular,19,low
non-native,13,1,regular,31,low
native,13,3,summer,13,low
non-native,5,2,regular,37,low
non-native,16,8,regular,36,low
non-native,4,16,regular,21,low
non-native,5,2,regular,48,low
non-native,14,15,regular,38,low
native,23,3,summer,19,high
non-native,15,3,summer,17,high
native,23,3,regular,49,high
native,5,2,regular,33,high
non-native,7,11,regular,55,high
non-native,23,3,summer,20,high
non-native,9,5,regular,19,high
non-native,10,3,regular,27,high
native,22,3,regular,58,high
non-native,15,3,summer,20,high
non-native,10,22,regular,9,high
non-native,13,1,regular,30,high
non-native,18,21,regular,29,high
non-native,6,17,regular,39,high
non-native,6,17,regular,42,medium
non-native,6,17,regular,43,medium
non-native,7,11,regular,10,medium
non-native,22,3,regular,46,medium
non-native,13,3,summer,10,medium
non-native,7,25,regular,42,medium
non-native,25,7,regular,27,medium
non-native,25,7,regular,23,medium
non-native,2,9,regular,31,medium
non-native,1,15,summer,22,medium
non-native,15,13,regular,37,medium
non-native,7,11,regular,13,medium
non-native,8,3,regular,24,medium
non-native,14,15,regular,38,medium
non-native,21,2,regular,42,low
non-native,22,3,regular,28,low
non-native,11,1,regular,51,low
non-native,18,5,regular,19,low
non-native,13,1,regular,31,low
native,13,3,summer,13,low
non-native,5,2,regular,37,low
non-native,16,8,regular,36,low
non-native,4,16,regular,21,low
non-native,5,2,regular,48,low
non-native,14,15,regular,38,low
native,23,3,summer,25,high
native,13,3,summer,17,high
non-native,16,19,regular,11,high
non-native,9,2,regular,39,high
non-native,13,3,summer,11,high
non-native,18,21,regular,19,high
native,22,3,regular,45,high
non-native,7,11,summer,20,high
non-native,23,3,summer,20,high
native,23,3,summer,20,high
native,23,3,regular,38,high
non-native,14,22,regular,17,high
native,17,17,regular,19,high
non-native,9,5,regular,24,high
non-native,18,25,regular,25,high
native,17,17,regular,31,high
non-native,1,15,regular,31,high
non-native,1,8,regular,18,medium
native,11,16,regular,22,medium
native,22,13,regular,27,medium
non-native,9,2,regular,14,medium
non-native,13,1,regular,20,medium
native,6,17,regular,35,medium
non-native,23,3,summer,20,medium
native,23,3,summer,20,medium
non-native,6,17,regular,37,medium
native,22,3,regular,15,medium
non-native,20,2,regular,25,medium
non-native,23,3,regular,10,medium
non-native,20,2,regular,14,low
native,23,3,regular,38,low
non-native,13,1,regular,29,low
non-native,10,3,regular,19,low
non-native,7,11,regular,30,low
native,14,15,regular,32,low
non-native,8,3,regular,27,low
non-native,12,7,regular,34,low
non-native,8,7,regular,23,low
non-native,15,1,regular,66,low
non-native,23,3,regular,12,low
non-native,2,9,regular,29,low
non-native,15,1,regular,19,low
non-native,20,2,regular,3,low
non-native,13,14,regular,17,high
non-native,9,6,regular,7,high
native,10,3,regular,21,high
non-native,14,15,regular,36,high
native,13,1,regular,54,high
native,8,3,regular,29,high
non-native,20,2,regular,45,high
non-native,22,1,regular,11,medium
non-native,18,12,regular,16,medium
non-native,20,15,regular,18,medium
native,17,18,regular,44,medium
non-native,14,23,regular,17,medium
non-native,24,26,regular,21,medium
non-native,9,24,regular,20,medium
non-native,12,8,regular,24,medium
non-native,9,6,regular,5,medium
non-native,22,1,regular,42,medium
non-native,7,11,regular,30,low
non-native,10,3,regular,19,low
non-native,23,3,regular,11,low
non-native,17,18,regular,29,low
non-native,16,20,regular,15,low
non-native,3,2,regular,37,low
non-native,19,4,regular,10,low
non-native,23,3,regular,24,low
non-native,3,2,regular,26,low
non-native,10,3,regular,12,low
native,18,7,regular,48,low
non-native,22,1,regular,51,low
non-native,2,10,regular,27,low
